codigo,lat,lon,ops_2019,ops_2020,var_pct_20_vs_19
SCAT,-27.264.233.307.489.500,-7.077.419.497.885.190,5171,2251,-56.47
SCAR,-1.834.899.569.929.850,-7.033.546.644.662.300,7709,3478,-54.88
SCCI,-5.300.393.114.864.790,-7.084.696.571.611.570,13726,6519,-52.51
SCEL,-3.338.955.543.914.170,-7.079.439.147.489.050,174238,84083,-51.74
SCCF,-22.495.323.226.908.100,-689.074.228.722.131,16450,8958,-45.54
SCTE,-4.143.304.569.037.370,-7.309.869.896.098.880,16197,8901,-45.05
SCQP,-38.926.989.996.093.100,-726.469.068.476.298,9720,5565,-42.75
SCDA,-20.547.567.518.215.400,-701.786.134.753.927,15992,10442,-34.7
SCFA,-2.344.855.455.066.280,-7.044.095.794.646.090,17289,12125,-29.87
SCSE,-29.916.768.798.553.900,-7.120.378.768.853.860,13783,10074,-26.91
SCIE,-36.776.710.069.449.000,-7.305.984.073.054.900,23648,18023,-23.79